dataset,model,iteration,mae,mse,seq_len,pred_len,percent,memory,time
MSFT,MICN,3,1.0412,2.1889,96,48,100,23.3,2.9
MSFT,MICN,1,1.3172,3.3807,96,96,100,24.1,2.7
MSFT,MICN,2,1.4236,3.999,96,96,100,24.1,3.4
MSFT,MICN,3,1.3067,3.3872,96,96,100,24.1,3.0
MSFT,OFA,1,0.93042,1.8788,96,24,100,349.0,6.2
MSFT,OFA,2,0.94087,1.8862,96,24,100,350.1,6.9
MSFT,OFA,3,0.9323,1.9402,96,24,100,349.0,6.2
MSFT,OFA,1,1.3556,3.3819,96,24,10,349.1,2.6
MSFT,OFA,2,1.3436,3.284,96,24,10,349.9,2.3
MSFT,OFA,3,1.4017,3.5372,96,24,10,350.4,3.2
MSFT,OFA,1,1.6075,4.034,96,24,0,,
MSFT,OFA,2,1.5845,3.9789,96,24,0,,
MSFT,OFA,3,1.5641,3.8609,96,24,0,,
MSFT,OFA,1,1.1086,2.6288,96,48,100,353.4,6.9
MSFT,OFA,2,1.0955,2.5424,96,48,100,354.5,7.8
MSFT,OFA,3,1.1203,2.5866,96,48,100,353.1,7.2
MSFT,OFA,1,1.5041,5.1674,96,96,100,359.6,7.2
MSFT,OFA,2,1.4466,4.9688,96,96,100,361.2,10.4
MSFT,OFA,3,1.48,4.8155,96,96,100,360.6,12.6
MSFT,PatchTST,1,0.88467,1.6187,96,24,100,18.9,3.4
MSFT,PatchTST,2,0.88368,1.5618,96,24,100,18.9,3.3
MSFT,PatchTST,3,0.84913,1.4607,96,24,100,18.9,3.3
MSFT,PatchTST,1,1.0995,2.3188,96,24,10,19.0,0.8
MSFT,PatchTST,2,1.04,1.9869,96,24,10,19.0,0.6
MSFT,PatchTST,3,1.048,2.075,96,24,10,19.0,0.6
MSFT,PatchTST,1,1.1236,2.3875,96,48,100,19.2,2.9
MSFT,PatchTST,2,1.0956,2.2773,96,48,100,19.2,2.8
MSFT,PatchTST,3,1.2093,2.986,96,48,100,19.2,2.8
MSFT,PatchTST,1,1.4594,4.1775,96,96,100,20.1,3.6
MSFT,PatchTST,2,1.3876,3.9529,96,96,100,20.1,3.2
MSFT,PatchTST,3,1.5689,4.822,96,96,100,20.1,3.1
MSFT,TimeLLM,1,1.038,1.9576,96,24,100,1126.3,47.3
MSFT,TimeLLM,2,0.99935,2.0712,96,24,100,1126.5,46.5
MSFT,TimeLLM,3,0.99862,2.0679,96,24,100,1126.9,48.6
MSFT,TimeLLM,1,1.0708,2.2544,96,24,10,1126.9,9.9
MSFT,TimeLLM,2,1.1066,2.4953,96,24,10,1127.4,10.3
MSFT,TimeLLM,3,1.1154,2.4473,96,24,10,1125.9,10.4
MSFT,TimeLLM,1,1.8854,5.4746,96,24,0,,
MSFT,TimeLLM,2,1.8644,5.3969,96,24,0,,
MSFT,TimeLLM,3,1.6827,4.5238,96,24,0,,
MSFT,TimeLLM,1,1.1559,2.6077,96,48,100,1126.7,68.4
MSFT,TimeLLM,2,1.1951,2.7511,96,48,100,1125.0,68.3
MSFT,TimeLLM,3,1.1852,2.5923,96,48,100,1126.7,68.0
MSFT,TimeLLM,1,1.5573,4.6016,96,96,100,1127.9,163.0
MSFT,TimeLLM,2,1.7129,5.5224,96,96,100,1130.2,169.4
MSFT,TimeLLM,3,1.7113,5.6091,96,96,100,1128.6,172.4
MSFT,TimeMixer,1,0.83457,1.4607,96,24,100,18.1,5.2
MSFT,TimeMixer,2,0.84395,1.4412,96,24,100,18.1,4.8
MSFT,TimeMixer,3,0.9033,1.7518,96,24,100,18.1,5.0
MSFT,TimeMixer,1,1.1855,2.9342,96,24,10,18.2,0.9
MSFT,TimeMixer,2,1.2072,2.8857,96,24,10,18.2,0.8
MSFT,TimeMixer,3,1.1559,2.742,96,24,10,18.2,0.8
MSFT,TimeMixer,1,1.0547,2.1872,96,48,100,18.2,4.4
MSFT,TimeMixer,2,1.1641,2.6275,96,48,100,18.2,4.2
MSFT,TimeMixer,3,1.1305,2.6498,96,48,100,18.2,4.2
MSFT,TimeMixer,1,1.5585,4.6131,96,96,100,18.6,6.1
MSFT,TimeMixer,2,1.7026,5.641,96,96,100,18.6,4.9
MSFT,TimeMixer,3,1.4917,4.2771,96,96,100,18.6,6.2
MSFT,TimesNet,1,0.91072,1.6519,96,24,100,166.1,15.3
MSFT,TimesNet,2,0.92824,1.5989,96,24,100,173.2,20.6
MSFT,TimesNet,3,0.91902,1.5413,96,24,100,171.3,16.4
MSFT,TimesNet,1,1.5194,3.9604,96,24,10,169.1,4.0
MSFT,TimesNet,2,1.4346,3.6101,96,24,10,169.6,3.8
MSFT,TimesNet,3,1.33,3.09,96,24,10,169.2,2.6
MSFT,TimesNet,1,1.1447,2.5791,96,48,100,167.2,23.9
MSFT,TimesNet,2,1.2318,2.9017,96,48,100,170.2,31.7
MSFT,TimesNet,3,1.3323,2.9209,96,48,100,176.4,21.2
MSFT,TimesNet,1,1.5344,5.3983,96,96,100,165.1,82.0
MSFT,TimesNet,2,1.3939,3.3223,96,96,100,166.6,74.5
MSFT,TimesNet,3,1.6704,4.925,96,96,100,166.2,68.0
Natural_Gas,CALF,1,1.0119,1.8183,96,24,100,937.3,7.7
Natural_Gas,CALF,2,0.97778,1.6579,96,24,100,940.1,6.4
Natural_Gas,CALF,3,1.0081,1.8208,96,24,100,1474.8,9.9
Natural_Gas,CALF,1,1.1986,2.4479,96,24,10,939.5,4.3
Natural_Gas,CALF,2,1.158,2.2269,96,24,10,941.8,4.2
Natural_Gas,CALF,3,1.1645,2.2287,96,24,10,943.8,4.6
Natural_Gas,CALF,1,1.4526,3.4056,96,24,0,,
Natural_Gas,CALF,2,1.4509,3.3519,96,24,0,,
Natural_Gas,CALF,3,1.3787,3.0534,96,24,0,,
Natural_Gas,CALF,1,1.2873,2.7045,96,48,100,949.8,8.6
Natural_Gas,CALF,2,1.3719,3.0107,96,48,100,954.4,6.4
Natural_Gas,CALF,3,1.3205,2.8599,96,48,100,955.1,9.1
Natural_Gas,CALF,1,1.6847,4.7597,96,96,100,971.2,9.4
Natural_Gas,CALF,2,1.7314,5.0479,96,96,100,972.6,8.9
Natural_Gas,CALF,3,1.6565,4.3837,96,96,100,972.3,7.8
Natural_Gas,DLinear,1,1.0325,1.8334,96,24,100,16.4,2.0
Natural_Gas,DLinear,2,1.0123,1.7858,96,24,100,16.4,1.9
Natural_Gas,DLinear,3,1.0182,1.7941,96,24,100,16.4,1.9
Natural_Gas,DLinear,1,1.1554,2.1756,96,24,10,16.6,1.7
Natural_Gas,DLinear,2,1.1572,2.1751,96,24,10,16.6,0.7
Natural_Gas,DLinear,3,1.1802,2.2425,96,24,10,16.6,0.7
Natural_Gas,DLinear,1,1.4021,3.0452,96,48,100,16.6,1.9
Natural_Gas,DLinear,2,1.3666,3.0027,96,48,100,16.6,1.8
Natural_Gas,DLinear,3,1.377,3.0161,96,48,100,16.6,1.8
Natural_Gas,DLinear,1,1.754,5.2426,96,96,100,16.6,1.8
Natural_Gas,DLinear,2,1.7641,5.2716,96,96,100,16.6,1.6
Natural_Gas,DLinear,3,1.7702,5.3197,96,96,100,16.6,1.5
Natural_Gas,iTransformer,1,0.98683,1.7267,96,24,100,17.5,2.7
Natural_Gas,iTransformer,2,0.99615,1.7937,96,24,100,17.5,2.5
Natural_Gas,iTransformer,3,1.0771,1.9045,96,24,100,17.5,2.5
Natural_Gas,iTransformer,1,1.175,2.3083,96,24,10,17.7,1.1
Natural_Gas,iTransformer,2,1.0847,2.0647,96,24,10,17.7,0.8
Natural_Gas,iTransformer,3,1.0933,1.9853,96,24,10,17.7,0.8
Natural_Gas,iTransformer,1,1.3992,3.1172,96,48,100,17.7,2.3
Natural_Gas,iTransformer,2,1.3455,2.9462,96,48,100,17.7,2.1
Natural_Gas,iTransformer,3,1.3517,3.0203,96,48,100,17.7,2.1
Natural_Gas,iTransformer,1,1.7986,5.6512,96,96,100,17.6,3.0
Natural_Gas,iTransformer,2,1.9303,6.3811,96,96,100,17.6,2.5
Natural_Gas,iTransformer,3,1.8135,5.7031,96,96,100,17.6,2.3
Natural_Gas,MICN,1,0.96713,1.7079,96,24,100,23.0,2.9
Natural_Gas,MICN,2,1.0118,1.7867,96,24,100,23.0,2.8
Natural_Gas,MICN,3,0.99071,1.766,96,24,100,23.0,2.8
Natural_Gas,MICN,1,1.1169,2.1551,96,24,10,23.2,0.7
Natural_Gas,MICN,2,1.2678,2.6281,96,24,10,23.2,0.6
Natural_Gas,MICN,3,1.168,2.3418,96,24,10,23.2,0.6
Natural_Gas,MICN,1,1.3249,2.9197,96,48,100,23.4,2.4
Natural_Gas,MICN,2,1.3358,2.9592,96,48,100,23.4,2.2
Natural_Gas,MICN,3,1.3734,3.0946,96,48,100,23.4,2.3
Natural_Gas,MICN,1,1.6879,4.6157,96,96,100,23.8,2.2
Natural_Gas,MICN,2,1.5806,3.9349,96,96,100,23.8,2.0
Natural_Gas,MICN,3,1.5519,3.6829,96,96,100,23.8,2.4
Natural_Gas,OFA,1,0.97251,1.7874,96,24,100,349.0,5.8
Natural_Gas,OFA,2,0.98911,1.7784,96,24,100,350.2,5.7
Natural_Gas,OFA,3,1.0057,1.7466,96,24,100,349.0,6.0
Natural_Gas,OFA,1,1.0477,1.9823,96,24,10,349.1,1.9
Natural_Gas,OFA,2,1.099,2.0147,96,24,10,350.3,1.6
Natural_Gas,OFA,3,1.2348,2.5094,96,24,10,349.1,1.7
Natural_Gas,OFA,1,1.3679,3.028,96,24,0,,
Natural_Gas,OFA,2,1.3462,2.9291,96,24,0,,
Natural_Gas,OFA,3,1.345,2.9342,96,24,0,,
Natural_Gas,OFA,1,1.3585,2.9984,96,48,100,353.4,6.4
Natural_Gas,OFA,2,1.3445,2.8435,96,48,100,354.2,6.3
Natural_Gas,OFA,3,1.3006,2.814,96,48,100,354.3,6.3
Natural_Gas,OFA,1,1.7889,5.3623,96,96,100,360.0,9.6
Natural_Gas,OFA,2,1.8164,5.5776,96,96,100,361.6,12.8
Natural_Gas,OFA,3,1.7403,5.0468,96,96,100,362.9,13.1
Natural_Gas,PatchTST,1,1.0283,1.9894,96,24,100,18.9,2.8
Natural_Gas,PatchTST,2,1.0317,1.9927,96,24,100,18.9,2.6
Natural_Gas,PatchTST,3,1.0807,2.0827,96,24,100,18.9,2.6
Natural_Gas,PatchTST,1,1.2434,2.4766,96,24,10,19.1,2.5
Natural_Gas,PatchTST,2,1.2085,2.3812,96,24,10,19.1,0.7
Natural_Gas,PatchTST,3,1.2746,2.5817,96,24,10,19.1,0.8
Natural_Gas,PatchTST,1,1.4093,3.2841,96,48,100,19.3,2.4
Natural_Gas,PatchTST,2,1.3653,3.3274,96,48,100,19.3,2.2
Natural_Gas,PatchTST,3,1.4283,3.62,96,48,100,19.3,2.2
Natural_Gas,PatchTST,1,1.7635,5.1317,96,96,100,19.8,2.7
Natural_Gas,PatchTST,2,1.9463,6.4561,96,96,100,19.8,1.8
Natural_Gas,PatchTST,3,2.0775,7.3103,96,96,100,19.8,1.9
Natural_Gas,TimeLLM,1,1.1506,2.1422,96,24,100,1125.9,45.1
Natural_Gas,TimeLLM,2,1.0872,1.9768,96,24,100,1126.6,44.9
Natural_Gas,TimeLLM,3,1.1504,2.1994,96,24,100,1128.3,45.7
Natural_Gas,TimeLLM,1,1.1579,2.2607,96,24,10,1125.9,9.5
Natural_Gas,TimeLLM,2,1.1551,2.1573,96,24,10,1126.6,9.0
Natural_Gas,TimeLLM,3,1.2877,2.6558,96,24,10,1128.3,8.9
Natural_Gas,TimeLLM,1,1.5747,3.956,96,24,0,,
Natural_Gas,TimeLLM,2,1.5797,3.9761,96,24,0,,
Natural_Gas,TimeLLM,3,1.6646,4.341,96,24,0,,
Natural_Gas,TimeLLM,1,1.3322,2.8837,96,48,100,1126.9,65.8
Natural_Gas,TimeLLM,2,1.3821,2.9628,96,48,100,1128.6,65.3
Natural_Gas,TimeLLM,3,1.3187,2.7577,96,48,100,1128.4,65.9
Natural_Gas,TimeLLM,1,1.8319,5.694,96,96,100,1127.3,152.9
Natural_Gas,TimeLLM,2,1.9371,6.6657,96,96,100,1128.8,162.3
Natural_Gas,TimeLLM,3,1.89,6.0763,96,96,100,1129.7,159.4
Natural_Gas,TimeMixer,1,1.0997,2.1361,96,24,100,18.1,4.7
Natural_Gas,TimeMixer,2,1.1354,2.2947,96,24,100,18.1,4.4
Natural_Gas,TimeMixer,3,1.0823,2.0681,96,24,100,18.1,4.4
Natural_Gas,TimeMixer,1,1.3443,2.9325,96,24,10,18.2,0.9
Natural_Gas,TimeMixer,2,1.3595,2.9706,96,24,10,18.2,0.7
Natural_Gas,TimeMixer,3,1.3295,2.8225,96,24,10,18.2,0.7
Natural_Gas,TimeMixer,1,1.4685,3.6492,96,48,100,18.3,4.1
Natural_Gas,TimeMixer,2,1.562,3.9642,96,48,100,18.3,3.9
Natural_Gas,TimeMixer,3,1.4586,3.5517,96,48,100,18.3,4.0
Natural_Gas,TimeMixer,1,2.3245,9.1357,96,96,100,18.3,5.5
Natural_Gas,TimeMixer,2,2.0949,7.5086,96,96,100,18.3,5.4
Natural_Gas,TimeMixer,3,1.977,6.705,96,96,100,18.3,4.5
Natural_Gas,TimesNet,1,1.0489,1.9815,96,24,100,166.6,21.4
Natural_Gas,TimesNet,2,0.98968,1.7498,96,24,100,170.6,29.9
Natural_Gas,TimesNet,3,1.034,1.8031,96,24,100,168.6,20.6
Natural_Gas,TimesNet,1,1.1925,2.4638,96,24,10,165.9,1.8
Natural_Gas,TimesNet,2,1.2272,2.5934,96,24,10,167.3,1.5
Natural_Gas,TimesNet,3,1.2691,2.602,96,24,10,164.1,1.5
Natural_Gas,TimesNet,1,1.5183,3.6173,96,48,100,165.2,36.9
Natural_Gas,TimesNet,2,1.4248,3.4357,96,48,100,168.3,50.2
Natural_Gas,TimesNet,3,1.2929,2.7068,96,48,100,168.2,27.3
Natural_Gas,TimesNet,1,1.904,6.2743,96,96,100,166.5,111.7
Natural_Gas,TimesNet,2,2.039,7.6712,96,96,100,169.0,93.1
Natural_Gas,TimesNet,3,1.9817,6.8241,96,96,100,167.0,87.1
SPX500,CALF,1,0.88663,1.3627,96,24,100,1472.1,10.4
SPX500,CALF,2,0.8157,1.0795,96,24,100,1473.8,12.7
SPX500,CALF,3,0.82811,1.0313,96,24,100,1473.4,13.2
SPX500,CALF,1,1.2638,2.2879,96,24,10,938.4,2.9
SPX500,CALF,2,1.1537,2.406,96,24,10,942.8,3.9
SPX500,CALF,3,1.1571,2.4135,96,24,10,940.8,4.8
SPX500,CALF,1,1.7766,4.1856,96,24,0,,
SPX500,CALF,2,1.7839,4.1913,96,24,0,,
SPX500,CALF,3,1.6479,3.5761,96,24,0,,
SPX500,CALF,1,1.1266,2.1266,96,48,100,949.0,7.8
SPX500,CALF,2,1.0044,1.6922,96,48,100,954.2,6.7
SPX500,CALF,3,1.1089,2.1086,96,48,100,950.8,7.8
SPX500,CALF,1,1.7465,6.1622,96,96,100,970.2,8.8
SPX500,CALF,2,1.7825,6.0317,96,96,100,971.8,9.4
SPX500,CALF,3,1.6701,5.5917,96,96,100,973.2,10.5
SPX500,DLinear,1,0.80957,1.0869,96,24,100,16.4,2.1
SPX500,DLinear,2,0.80892,1.1323,96,24,100,16.4,2.0
SPX500,DLinear,3,0.8094,1.0799,96,24,100,16.4,2.0
SPX500,DLinear,1,1.1498,2.0963,96,24,10,16.5,0.5
SPX500,DLinear,2,1.1544,2.1046,96,24,10,16.5,0.4
SPX500,DLinear,3,1.1307,2.0376,96,24,10,16.5,0.4
SPX500,DLinear,1,1.1643,2.3158,96,48,100,16.6,1.8
SPX500,DLinear,2,1.1424,2.2143,96,48,100,16.6,1.8
SPX500,DLinear,3,1.1429,2.1902,96,48,100,16.6,1.7
SPX500,DLinear,1,2.197,9.8104,96,96,100,16.6,1.7
SPX500,DLinear,2,2.2029,9.8473,96,96,100,16.6,1.4
SPX500,DLinear,3,2.2149,9.8516,96,96,100,16.6,1.4
SPX500,iTransformer,1,0.87119,1.1501,96,24,100,17.5,2.9
SPX500,iTransformer,2,0.89859,1.4565,96,24,100,17.5,2.7
SPX500,iTransformer,3,0.83858,1.1992,96,24,100,17.5,2.7
SPX500,iTransformer,1,1.1589,2.0836,96,24,10,17.6,0.7
SPX500,iTransformer,2,1.2506,2.3332,96,24,10,17.6,0.5
SPX500,iTransformer,3,1.1478,2.1585,96,24,10,17.6,0.5
SPX500,iTransformer,1,1.2886,2.6683,96,48,100,17.6,2.4
SPX500,iTransformer,2,1.2357,2.5014,96,48,100,17.6,2.2
SPX500,iTransformer,3,1.2574,2.6868,96,48,100,17.6,2.2
SPX500,iTransformer,1,1.8054,6.0607,96,96,100,17.6,2.9
SPX500,iTransformer,2,1.9581,7.2642,96,96,100,17.6,2.5
SPX500,iTransformer,3,1.8558,6.2902,96,96,100,17.6,2.5
SPX500,MICN,1,0.76688,1.0079,96,24,100,23.0,2.8
SPX500,MICN,2,0.72527,0.92748,96,24,100,23.0,2.7
SPX500,MICN,3,0.74872,0.96738,96,24,100,23.0,2.7
SPX500,MICN,1,1.1924,2.2842,96,24,10,23.1,0.7
SPX500,MICN,2,1.1389,2.1559,96,24,10,23.1,0.6
SPX500,MICN,3,1.2335,2.5573,96,24,10,23.1,0.6
SPX500,MICN,1,0.98533,1.5568,96,48,100,23.4,2.5
SPX500,MICN,2,1.0069,1.6539,96,48,100,23.4,2.4
SPX500,MICN,3,1.0835,1.8718,96,48,100,23.4,2.4
SPX500,MICN,1,1.8377,6.3757,96,96,100,23.8,3.1
SPX500,MICN,2,1.6127,5.3546,96,96,100,23.8,1.8
SPX500,MICN,3,1.6839,5.7177,96,96,100,23.8,1.8
SPX500,OFA,1,0.68266,0.7877,96,24,100,349.0,5.9
SPX500,OFA,2,0.71322,0.87481,96,24,100,349.6,5.6
SPX500,OFA,3,0.63098,0.71285,96,24,100,349.0,6.3
SPX500,OFA,1,1.4379,3.1476,96,24,10,349.6,1.8
SPX500,OFA,2,1.5284,3.6758,96,24,10,350.5,2.6
SPX500,OFA,3,1.2441,2.3953,96,24,10,349.6,2.2
SPX500,OFA,1,1.7845,3.973,96,24,0,,
SPX500,OFA,2,1.7633,3.9131,96,24,0,,
SPX500,OFA,3,1.7373,3.7827,96,24,0,,
SPX500,OFA,1,0.98361,1.7786,96,48,100,353.5,6.3
SPX500,OFA,2,0.95358,1.7361,96,48,100,355.2,5.8
SPX500,OFA,3,0.87959,1.3751,96,48,100,354.4,5.8
SPX500,OFA,1,1.4777,4.3973,96,96,100,359.0,5.7
SPX500,OFA,2,1.3706,3.8274,96,96,100,360.4,8.3
SPX500,OFA,3,1.431,4.1045,96,96,100,359.5,9.7
SPX500,PatchTST,1,0.78675,0.95615,96,24,100,18.9,4.7
SPX500,PatchTST,2,0.81527,1.0551,96,24,100,18.9,2.7
SPX500,PatchTST,3,0.7618,0.95422,96,24,100,18.9,2.7
SPX500,PatchTST,1,1.2007,2.2513,96,24,10,19.0,0.8
SPX500,PatchTST,2,1.0921,1.8935,96,24,10,19.0,0.5
SPX500,PatchTST,3,1.115,1.94,96,24,10,19.0,0.5
SPX500,PatchTST,1,1.0684,2.1103,96,48,100,19.3,2.5
SPX500,PatchTST,2,1.0705,2.1509,96,48,100,19.3,2.3
SPX500,PatchTST,3,1.0885,1.8994,96,48,100,19.3,2.3
SPX500,PatchTST,1,1.6078,5.295,96,96,100,19.7,2.9
SPX500,PatchTST,2,1.6832,5.7458,96,96,100,19.7,2.5
SPX500,PatchTST,3,1.6568,4.8874,96,96,100,19.7,2.5
SPX500,TimeLLM,1,0.84747,1.307,96,24,100,1126.0,37.9
SPX500,TimeLLM,2,0.74775,0.88592,96,24,100,1127.9,37.6
SPX500,TimeLLM,3,0.83055,1.0938,96,24,100,1126.5,36.9
SPX500,TimeLLM,1,0.99304,1.4908,96,24,10,1126.1,7.6
SPX500,TimeLLM,2,1.1468,1.9953,96,24,10,1127.1,7.7
SPX500,TimeLLM,3,1.2692,2.3435,96,24,10,1126.1,8.4
SPX500,TimeLLM,1,2.0317,5.4841,96,24,0,,
SPX500,TimeLLM,2,2.0033,5.4153,96,24,0,,
SPX500,TimeLLM,3,1.6974,4.2315,96,24,0,,
SPX500,TimeLLM,1,1.1698,2.3698,96,48,100,1126.4,54.5
SPX500,TimeLLM,2,1.0145,1.6824,96,48,100,1128.5,53.8
SPX500,TimeLLM,3,1.149,2.2413,96,48,100,1126.5,53.6
SPX500,TimeLLM,1,1.641,5.2478,96,96,100,1127.6,118.9
SPX500,TimeLLM,2,1.6975,5.4648,96,96,100,1129.6,126.2
SPX500,TimeLLM,3,1.6804,5.0466,96,96,100,1127.7,128.9
SPX500,TimeMixer,1,0.76538,1.0293,96,24,100,18.1,4.4
SPX500,TimeMixer,2,0.7495,0.99958,96,24,100,18.1,4.2
SPX500,TimeMixer,3,0.74785,0.96946,96,24,100,18.1,4.2
SPX500,TimeMixer,1,1.2218,2.4381,96,24,10,18.2,0.9
SPX500,TimeMixer,2,1.3604,2.7832,96,24,10,18.2,0.8
SPX500,TimeMixer,3,1.1652,2.2453,96,24,10,18.2,0.8
SPX500,TimeMixer,1,0.89939,1.4624,96,48,100,18.3,4.1
SPX500,TimeMixer,2,0.98046,1.6585,96,48,100,18.3,3.9
SPX500,TimeMixer,3,0.9177,1.4073,96,48,100,18.3,3.9
SPX500,TimeMixer,1,1.6249,5.0666,96,96,100,18.3,5.6
SPX500,TimeMixer,2,1.8699,6.5231,96,96,100,18.3,5.6
SPX500,TimeMixer,3,1.6475,5.5768,96,96,100,18.3,5.1
SPX500,TimesNet,1,0.82653,1.0657,96,24,100,167.6,20.2
SPX500,TimesNet,2,0.86338,1.1948,96,24,100,170.9,20.8
SPX500,TimesNet,3,0.82936,1.2822,96,24,100,170.8,17.4
SPX500,TimesNet,1,1.131,2.1637,96,24,10,168.2,2.8
SPX500,TimesNet,2,1.1502,2.2692,96,24,10,169.6,2.5
SPX500,TimesNet,3,1.2487,2.8562,96,24,10,170.7,2.6
SPX500,TimesNet,1,1.1719,2.5466,96,48,100,166.9,31.6
SPX500,TimesNet,2,1.124,2.187,96,48,100,169.9,29.0
SPX500,TimesNet,3,1.0911,2.1722,96,48,100,168.0,24.0
SPX500,TimesNet,1,1.7393,5.7597,96,96,100,164.6,99.5
SPX500,TimesNet,2,1.8439,7.0805,96,96,100,167.6,90.0
SPX500,TimesNet,3,1.7507,5.6808,96,96,100,165.6,82.7
